turn,player,bot
1,"(1, 1) True",-
2,"(1, 2) False",-
3,-,"(8, 1) True"
4,-,"(0, 0) False"
5,"(1, 1) False",-
6,-,"(9, 3) False"
7,"(1, 0) True",-
8,"(4, 8) False",-
9,-,"(2, 8) False"
10,"(5, 5) False",-
11,-,"(8, 4) False"
12,"(6, 6) False",-
13,-,"(2, 0) False"
14,"(4, 4) False",-
15,-,"(4, 6) False"
16,"(3, 3) True",-
17,"(3, 2) True",-
18,"(9, 1) False",-
19,-,"(1, 2) False"
20,"(8, 2) False",-
21,-,"(3, 7) False"
22,"(7, 3) True",-
23,"(9, 8) False",-
24,-,"(6, 3) False"
25,"(7, 9) False",-
26,-,"(4, 3) False"
27,"(7, 7) False",-
28,-,"(6, 2) False"
29,"(6, 7) True",-
30,"(3, 3) False",-
31,-,"(3, 5) False"
32,"(3, 8) False",-
33,-,"(7, 8) True"
34,-,"(8, 8) False"
35,"(3, 6) False",-
36,-,"(9, 7) False"
37,"(2, 7) False",-
38,-,"(3, 2) False"
39,"(2, 8) False",-
40,-,"(0, 5) False"
41,"(0, 8) False",-
42,-,"(1, 1) False"
43,"(0, 5) False",-
44,-,"(5, 7) False"
45,"(1, 8) False",-
46,-,"(3, 4) True"
47,-,"(2, 4) True"
48,-,"(4, 4) True"
49,-,"(1, 0) False"
50,"(1, 5) True",-
51,"(2, 5) True",-
52,"(3, 5) True",-
53,"(4, 5) True",-
54,"(1, 3) False",-
55,-,"(9, 8) True"
56,-,"(8, 3) False"
57,"(8, 0) False",-
58,-,"(3, 6) True"
59,-,"(2, 6) True"
60,-,"(3, 9) True"
61,-,"(2, 9) True"
62,-,"(9, 0) False"
63,"(7, 1) False",-
64,-,"(3, 3) False"
65,"(1, 8) False",-
66,-,"(4, 5) False"
67,"(6, 1) False",-
68,-,"(6, 4) False"
69,"(8, 8) True",-
70,"(8, 7) False",-
71,-,"(0, 8) True"
72,-,"(1, 8) False"
73,"(8, 9) True",-
74,"(8, 5) False",-
75,-,"(0, 7) True"
76,-,"(0, 9) False"
77,"(8, 6) False",-
78,-,"(1, 7) False"
79,"(9, 5) True",-
80,"(9, 6) False",-
81,-,"(0, 6) True"
82,-,"(7, 9) False"
83,"(9, 4) True",-
84,"(9, 3) True",-
85,"(4, 0) False",-
86,-,"(5, 6) False"
87,"(5, 0) True",-
88,"(5, 1) False",-
89,-,"(3, 0) False"
90,"(6, 0) True",-
91,"(7, 0) True",-
92,"(3, 0) False",-
93,-,"(4, 9) False"
94,"(9, 0) False",-
95,-,"(1, 6) False"
96,"(0, 3) False",-
97,-,"(6, 7) False"
98,"(0, 2) False",-
99,-,"(3, 8) False"
100,"(0, 7) False",-
101,-,"(4, 2) False"
102,"(0, 9) True",-
103,"(1, 7) False",-
104,-,"(9, 4) False"
105,"(3, 9) False",-
106,-,"(6, 8) False"
107,"(4, 9) False",-
108,-,"(0, 3) False"
109,"(5, 9) False",-
110,-,"(9, 9) False"
111,"(6, 9) False",-
112,-,"(8, 9) False"
113,"(2, 9) False",-
114,-,"(5, 3) False"
115,"(4, 7) False",-
116,-,"(5, 2) False"
117,"(3, 7) False",-
118,-,"(7, 2) False"
119,"(5, 2) False",-
120,-,"(9, 6) False"
121,"(5, 3) False",-
122,-,"(7, 0) False"
123,"(6, 5) False",-
124,-,"(6, 1) False"
125,"(7, 5) True",-
126,"(9, 7) False",-
127,-,"(7, 6) False"
